ID,Name,TeamName,Role
311,★ ⑳ fbk,Uranus Gaming,
312,★ ⑳ 888888888888,DETONA,
313,★ ⑳ limi7,Flow Nocturns Gaming,
314,★ ⑳ frostezor,DETONA,
315,★ ⑳ sheep,Flow Nocturns Gaming,
316,★ ⑳ NikoM,DETONA,
317,★ ⑳ t4MAg,Flow Nocturns Gaming,
318,★ ⑳ matinaso,Flow Nocturns Gaming,
319,★ ⑳ leandra$o,Flow Nocturns Gaming,
320,★ ⑳ lux[1],DETONA,
321,★ ⑳ nqz,DETONA,
322,★ ⑳ FL9HV1NjKo_O,blast,
323,★ ⑳ anar zzz,The Lions Team,
324,★ ⑳ heavY,blast,
325,★ ⑳ Okarin,The Lions Team,
326,★ ⑳ naz,The Lions Team,
327,★ ⑳ disturbed,blast,
328,★ ⑳ hyd,blast,
329,★ ⑳ mt1,The Lions Team,
330,★ ⑳ shrody,The Lions Team,
331,★ ⑳ chavera[?],blast,
332,★ ⑳ fuscovid,STONE MOVISTAR,
333,★ ⑳ coxinha,VivoKeyd Academy,
334,★ ⑳ jApA,VivoKeyd Academy,
335,★ ⑲ guishorromonstro,STONE MOVISTAR,
336,★ ⑳ ph1,VivoKeyd Academy,
337,★ ⑳ pavv+,STONE MOVISTAR,
338,★ ⑳ rainny-_-,VivoKeyd Academy,
339,★ ⑳ heartless,VivoKeyd Academy,
340,★ ⑳ Hezz †,STONE MOVISTAR,
341,★ ⑳ shawty,STONE MOVISTAR,
342,★ ⑳ abz,Furious Gaming,
343,★ ⑳ mlhzin,Beneath Gaming,
344,★ ⑳ kyoshix),Beneath Gaming,
345,★ ⑳ gooden,Furious Gaming,
346,★ ⑳ nacho,Furious Gaming,
347,★ ⑳ mileroff,Beneath Gaming,
348,★ ⑳ JonY BoY,Furious Gaming,
349,★ ⑳ uetinha,Beneath Gaming,
350,★ ⑳ Owen$inhoM^^,Furious Gaming,
351,★ ⑳ galaxyy,Beneath Gaming,
352,★ ⑳ nco,NOORG,
353,★ ⑳ luch,Team Lambda,
354,★ ⑳ pipos,NOORG,
355,★ ⑳ TISANJ3D,NOORG,
356,★ ⑳ Bluedee,Team Lambda,
357,★ ⑲ dazet,NOORG,
358,★ ⑳ nata,NOORG,
359,★ ⑳ rod^,Team Lambda,
360,★ ⑳ boz0,Team Lambda,
361,★ ⑳ eddu,Team Lambda,
362,★ ⑳ JO†A,0,
363,★ ⑳ west,Malvinas Gaming,
364,★ ⑳ caike,Bravos Gaming,
365,★ ⑳ BerSeCkaZo ♥j,Malvinas Gaming,
366,★ ⑳ tuurtle,Bravos Gaming,
367,★ ⑳ bichopm,Malvinas Gaming,
368,★ ⑳ WOOD7,Bravos Gaming,
369,★ ⑳ sjuush,Malvinas Gaming,
370,★ ⑳ FAKZ ^^,Malvinas Gaming,
371,★ ⑳ kaiG,Bravos Gaming,
372,★ ⑳ brt,0,
373,★ ⑳ kamizin*,JACKBOY$ (NO ORG),
374,★ ⑳ diabaz,Mariners Sports,
375,★ ⑳ Haz4rt,JACKBOY$ (NO ORG),
376,★ ⑳ eXp,Mariners Sports,
377,★ ⑳ happ^,JACKBOY$ (NO ORG),
378,★ ⑳ iguiin:D,Mariners Sports,
379,★ ⑳ GABB,JACKBOY$ (NO ORG),
380,★ ⑳ nickWRLD- *^!,0,
381,★ ⑳ SANGUE /A/,0,
382,★ ⑳ Demonos,Elevate GG,
383,★ ⑳ cerol011,Urubuzada e-Sports,
384,★ ⑳ rosseti,Urubuzada e-Sports,
385,★ ⑳ HPS,Elevate GG,
386,★ ⑳ twitch.tv/CutzMeretz,Elevate GG,
387,★ ⑳ ZDK,Urubuzada e-Sports,
388,★ ⑳ bruno_x,Elevate GG,
389,★ ⑳ saipsz4n ♥j,Urubuzada e-Sports,
390,★ ⑳ MURILOHENj dos fluxos,Urubuzada e-Sports,
391,★ ⑳ history,Elevate GG,
392,★ ⑳ el jean the ONE,RealDeal Rise,
393,★ ⑳ kvns_-,ATRAPA2 GAMING,
394,★ ⑳ CRISZZZZZZZZZZ,ATRAPA2 GAMING,
395,★ ⑳ igux fan,RealDeal Rise,
396,★ ⑳ ivanzinho=),ATRAPA2 GAMING,
397,★ ⑳ CyBeR,RealDeal Rise,
398,★ ⑳ Leozzvn_ ♥t,RealDeal Rise,
399,★ ⑳ Tefuh.MDQ,ATRAPA2 GAMING,
400,★ ⑳ ShinNy,ATRAPA2 GAMING,
401,★ ⑳ ayatinho,RealDeal Rise,
402,★ ⑳ sf_,UR$O,
403,★ ⑳ tt.tv/psYzerafps,kiddiNg2smile,
404,★ ⑳ -gaarddeus,kiddiNg2smile,
405,★ ⑳ KOBE,UR$O,
406,★ ⑳ m4t4ru1m,UR$O,
407,★ ⑳ sigma,kiddiNg2smile,
408,★ ⑳ KKRTZIN-,kiddiNg2smile,
409,★ ⑳ gu1,UR$O,
410,★ ⑳ MALDONADO,kiddiNg2smile,
411,★ ⑳ gabriellll,UR$O,
412,★ ⑳ BALLER,STREAM TEAM,
413,★ ⑳ abdmonster,Ex0d14,
414,★ ⑳ otizaaf,Ex0d14,
415,★ ⑳ Straka,STREAM TEAM,
416,★ ⑳ Terror,Ex0d14,
417,★ ⑳ stezatri†,STREAM TEAM,
418,★ ⑳ lhbM,Ex0d14,
419,★ ⑳ NICKY WONDERS,STREAM TEAM,
420,★ ⑳ Annoni,Ex0d14,
421,★ ⑳ TATAN',STREAM TEAM,
422,★ ⑳ LhaMa!,Tactical Killer,
423,★ ⑳ duquie,NUKEGG,
424,★ ⑳ zyxky_-,NUKEGG,
425,★ ⑳ Lok1,Tactical Killer,
426,★ ⑳ rafz,Tactical Killer,
427,★ ⑳ leleocs1,NUKEGG,
428,★ ⑳ calc,NUKEGG,
429,★ ⑳ sorry,Tactical Killer,
430,★ ⑳ Jah-ras,NUKEGG,
431,★ ⑳ Krz,Tactical Killer,
432,★ ⑳ aidy_y,LANGamers Esports,
433,★ ⑳ nth.,REAL MADRID 2018,
434,★ ⑳ mavz1N,REAL MADRID 2018,
435,★ ⑳ guztt,LANGamers Esports,
436,★ ⑳ tin9n,REAL MADRID 2018,
437,★ ⑳ wizt,LANGamers Esports,
438,★ ⑳ maky,REAL MADRID 2018,
439,★ ⑳ Makumberu,REAL MADRID 2018,
440,★ ⑳ banda,LANGamers Esports,
441,★ ⑳ panchi -A-,LANGamers Esports,
442,★ ⑳ ninOSTYLE.-,Bittersod Emerald,
443,★ ⑳ Benedetti,PEGUEI SUA IRMA,
444,★ ⑳ hax,Bittersod Emerald,
445,★ ⑳ Maykao,PEGUEI SUA IRMA,
446,★ ⑳ juarez4tw,PEGUEI SUA IRMA,
447,★ ⑳ fpnn,Bittersod Emerald,
448,★ ⑳ ateeex,PEGUEI SUA IRMA,
449,★ ⑳ gst,PEGUEI SUA IRMA,
450,★ ⑳ nks-_-,Bittersod Emerald,
451,★ ⑳ razor,Bittersod Emerald,
452,★ ⑳ jAPA,Havan Liberty Academy,
453,★ ⑳ SHiNODA -iwnl-,NineNine,
454,★ ⑳ r1see,NineNine,
455,★ ⑳ jicozera,Havan Liberty Academy,
456,★ ⑳ DebornY,NineNine,
457,★ ⑳ PRN,Havan Liberty Academy,
458,★ ⑳ nax,Havan Liberty Academy,
459,★ ⑳ n9xtZzZzy,NineNine,
460,★ ⑳ maybe one day,Havan Liberty Academy,
461,★ ⑳ RpL,NineNine,
462,★ ⑳ LcmM,Rehl Esports,
463,★ ⑳ cidZzZ,Bears eSports,
464,★ ⑳ mawth,Bears eSports,
465,★ ⑳ gus,Rehl Esports,
466,★ ⑳ tifa,Bears eSports,
467,★ ⑳ Ramm0s,Rehl Esports,
468,★ ⑳ Alisson *BETCERTO,Rehl Esports,
469,★ ⑳ togs,Bears eSports,
470,★ ⑳ gbb,Rehl Esports,
471,★ ⑳ decenty,Bears eSports,
472,★ ⑳ Bet1N,OPYT e-Sports,
473,★ ⑳ Sonzer4,FIVER5 FIRE,
474,★ ⑳ 47 ndr-,OPYT e-Sports,
475,★ ⑳ vzn,FIVER5 FIRE,
476,★ ⑳ armyReformed,OPYT e-Sports,
477,★ ⑳ Y4NC,FIVER5 FIRE,
478,★ ⑳ turone,OPYT e-Sports,
479,★ ⑳ xureba,FIVER5 FIRE,
480,★ ⑳ nwayShADY,OPYT e-Sports,
481,★ ⑳ tinoco,FIVER5 FIRE,
482,★ ⑳ gn1s,EQOLE,
483,★ ⑲ cadiaN,DESEMPLEADOS,
484,★ ⑲ jawazN,0,
485,★ ⑳ nwbye,0,
486,★ ⑳ Toro,EQOLE,
487,★ ⑳ laser =),DESEMPLEADOS,
488,★ ⑳ kr0wa,EQOLE,
489,★ ⑳ peqexino,DESEMPLEADOS,
490,★ ⑳ KUN,DESEMPLEADOS,
491,★ ⑳ luchov,DESEMPLEADOS,
492,★ ⑳ bLv*,BD.ECHO,
493,★ ⑳ roy,9z Academy,
494,★ ⑳ KNCERATOAQN,BD.ECHO,
