,Name,TeamName,Killed,Death,ADR,TotalDamageDealt,RoundMVPs,LastAliveQuantity,Clutches,FirstKills,FirstDeaths,FlashedEnemies,FlashAssists,BombsPlanted,WalkQuantityAsTR,WalkQuantityAsCT,DistanceTraveledAsTR,DistanceTraveledAsCT,AK47Kills,MAC10Kills,M4A4Kills,MP9Kills,AWPKills,ScoutKills
31,★ ⑳ loky,Ciam Gaming,0.264150943396226,0.18987341772151903,0.22734810794512203,0.22734810794512203,0.33333333333333304,0.555555555555555,0.0,0.2,0.09090909090909001,0.259259259259259,0.5,0.30000000000000004,0.14086248427874,4917,0.19143884408330702,86496.43,0.20370370370370303,0.0,0.2,0.0,0.818181818181818,0.0
32,★ ⑳ doczin,Ciam Gaming,0.113207547169811,0.18987341772151903,0.13960500527664702,0.13960500527664702,0.133333333333333,0.0,0.0,0.33333333333333304,0.27272727272727204,0.074074074074074,0.25,0.1,0.20114685255057402,4855,0.19885450535933702,82782.34,0.092592592592592,1.0,0.0,0.0,0.0,0.0
33,★ ⑳ Ayman,Ciam Gaming,0.254716981132075,0.18987341772151903,0.261344791195537,0.261344791195537,0.2,0.22222222222222202,0.5,0.133333333333333,0.18181818181818102,0.40740740740740705,0.25,0.2,0.18780243439704902,3302,0.20250029666961403,70983.93,0.37037037037037,0.0,0.1,0.0,0.09090909090909001,0.0
34,★ ⑳ huffyn.,Ciam Gaming,0.235849056603773,0.21518987341772103,0.21181968943162902,0.21181968943162902,0.133333333333333,0.22222222222222202,0.5,0.133333333333333,0.09090909090909001,0.0,0.0,0.4,0.21751827929483403,4496,0.20386832203943603,78466.05,0.20370370370370303,0.0,0.6000000000000001,0.33333333333333304,0.0,0.0
35,★ ⑳ TATAN',STREAM TEAM,0.23750000000000002,0.21495327102803702,0.26146660439047104,0.26146660439047104,0.5,0.388888888888888,0.0,0.27272727272727204,0.133333333333333,0.125,0.0,0.16666666666666602,0.22759856630824302,8412,0.19523451262916003,143046.23,0.2,0.0,0.29411764705882304,0.0,0.0,0.0
36,★ ⑳ stezatri;(,STREAM TEAM,0.2625,0.205607476635514,0.258010275572162,0.258010275572162,0.0,0.22222222222222202,0.0,0.27272727272727204,0.133333333333333,0.0,0.33333333333333304,0.5,0.15855734767025,7882,0.203550396374368,119719.77,0.28,0.0,0.17647058823529402,0.0,0.0,0.0
37,★ ⑳ NesToR,STREAM TEAM,0.1625,0.177570093457943,0.147781410555815,0.147781410555815,0.0,0.11111111111111101,0.0,0.09090909090909001,0.266666666666666,0.4375,0.33333333333333304,0.33333333333333304,0.20403225806451603,8339,0.21942363315750502,140524.95,0.08,1.0,0.11764705882352901,0.0,1.0,0.0
38,★ ⑳ NICKY WONDERS,STREAM TEAM,0.1375,0.19626168224299,0.14591312470808002,0.14591312470808002,0.5,0.22222222222222202,1.0,0.09090909090909001,0.133333333333333,0.1875,0.0,0.0,0.206227598566308,8202,0.192177090792318,124168.64,0.08,0.0,0.23529411764705802,0.0,0.0,0.0
39,★ ⑳ BALLER,STREAM TEAM,0.2,0.205607476635514,0.18682858477347,0.18682858477347,0.0,0.055555555555555004,0.0,0.27272727272727204,0.33333333333333304,0.25,0.33333333333333304,0.0,0.20358422939068102,8627,0.18961436704664703,145036.54,0.36,0.0,0.17647058823529402,0.0,0.0,0.0
40,★ ⑱ Fvn-,Action X,0.20879120879120802,0.19827586206896503,0.19631390209323601,0.19631390209323601,0.0,0.058823529411764004,0.0,0.133333333333333,0.0625,0.16666666666666602,0.1,0.28571428571428503,0.163538830281586,7935,0.18390265526913102,113541.42,0.114285714285714,0.0,0.44444444444444403,0.0,0.0,0.0
41,★ ⑳ gMsss,Action X,0.164835164835164,0.224137931034482,0.18213660245183802,0.18213660245183802,0.0,0.23529411764705802,0.0,0.266666666666666,0.125,0.291666666666666,0.1,0.0,0.22308457386965802,8300,0.193571894279347,127236.33,0.114285714285714,0.0,0.11111111111111101,0.0,1.0,0.0
42,★ ⑳ Delacroix,Action X,0.263736263736263,0.18103448275862002,0.267033608539738,0.267033608539738,0.33333333333333304,0.29411764705882304,0.0,0.2,0.3125,0.25,0.4,0.42857142857142805,0.164370383655899,9458,0.21971191589240302,158276.01,0.48571428571428504,0.0,0.0,0.0,0.0,0.0
43,★ ⑰ twitch.tv/Balthman,Action X,0.20879120879120802,0.19827586206896503,0.188641481110833,0.188641481110833,0.33333333333333304,0.23529411764705802,1.0,0.133333333333333,0.1875,0.08333333333333301,0.1,0.28571428571428503,0.23118814302718002,9225,0.21078548001305103,121805.9,0.228571428571428,0.0,0.22222222222222202,0.0,0.0,0.0
44,★ ⑳ Kadzz,Action X,0.15384615384615302,0.19827586206896503,0.165874405804353,0.165874405804353,0.33333333333333304,0.17647058823529402,0.0,0.266666666666666,0.3125,0.208333333333333,0.30000000000000004,0.0,0.217818069165674,9092,0.192028054546066,128053.66,0.057142857142857,1.0,0.22222222222222202,1.0,0.0,0.0
